"ID","task","result","group","result_correct","correct_min","correct_max","key_id_task"
1,"task_1",7.42,"Intervention",0,6.5,6.6,"1_task_1"
2,"task_1",6.58,"Intervention",1,6.5,6.6,"2_task_1"
3,"task_1",NA,"Intervention",0,6.5,6.6,"3_task_1"
4,"task_1",6.58,"Intervention",1,6.5,6.6,"4_task_1"
5,"task_1",6.58,"Intervention",1,6.5,6.6,"5_task_1"
6,"task_1",6.58,"Intervention",1,6.5,6.6,"6_task_1"
7,"task_1",6.58,"Intervention",1,6.5,6.6,"7_task_1"
8,"task_1",6.58,"Intervention",1,6.5,6.6,"8_task_1"
9,"task_1",6.43,"Intervention",0,6.5,6.6,"9_task_1"
10,"task_1",6.56,"Intervention",1,6.5,6.6,"10_task_1"
11,"task_1",6.58,"Intervention",1,6.5,6.6,"11_task_1"
12,"task_1",6.58,"Intervention",1,6.5,6.6,"12_task_1"
13,"task_1",6.58,"Intervention",1,6.5,6.6,"13_task_1"
14,"task_1",6.58,"Intervention",1,6.5,6.6,"14_task_1"
15,"task_1",NA,"Control",0,6.5,6.6,"15_task_1"
16,"task_1",43.28,"Control",0,6.5,6.6,"16_task_1"
17,"task_1",5.15,"Control",0,6.5,6.6,"17_task_1"
18,"task_1",128,"Control",0,6.5,6.6,"18_task_1"
19,"task_1",0.287,"Control",0,6.5,6.6,"19_task_1"
20,"task_1",43.28,"Control",0,6.5,6.6,"20_task_1"
21,"task_1",6.57,"Control",1,6.5,6.6,"21_task_1"
22,"task_1",5.7,"Control",0,6.5,6.6,"22_task_1"
23,"task_1",6.59,"Control",1,6.5,6.6,"23_task_1"
24,"task_1",6.578560378,"Control",1,6.5,6.6,"24_task_1"
25,"task_1",6.59,"Control",1,6.5,6.6,"25_task_1"
26,"task_1",43.28,"Control",0,6.5,6.6,"26_task_1"
1,"task_2",11.62,"Intervention",0,8.2,8.3,"1_task_2"
2,"task_2",8.22,"Intervention",1,8.2,8.3,"2_task_2"
