"ID","task","result","group","result_correct","correct_min","correct_max","key_id_task","time"
1,"task_1",7.42,"Intervention",0,6.5,6.6,"1_task_1",313
2,"task_1",6.58,"Intervention",1,6.5,6.6,"2_task_1",107
3,"task_1",NA,"Intervention",0,6.5,6.6,"3_task_1",105
4,"task_1",6.58,"Intervention",1,6.5,6.6,"4_task_1",83
5,"task_1",6.58,"Intervention",1,6.5,6.6,"5_task_1",183
6,"task_1",6.58,"Intervention",1,6.5,6.6,"6_task_1",148
7,"task_1",6.58,"Intervention",1,6.5,6.6,"7_task_1",279
8,"task_1",6.58,"Intervention",1,6.5,6.6,"8_task_1",519
9,"task_1",6.43,"Intervention",0,6.5,6.6,"9_task_1",98
10,"task_1",6.56,"Intervention",1,6.5,6.6,"10_task_1",131
11,"task_1",6.58,"Intervention",1,6.5,6.6,"11_task_1",276
12,"task_1",6.58,"Intervention",1,6.5,6.6,"12_task_1",88
13,"task_1",6.58,"Intervention",1,6.5,6.6,"13_task_1",163
14,"task_1",6.58,"Intervention",1,6.5,6.6,"14_task_1",126
15,"task_1",NA,"Control",0,6.5,6.6,"15_task_1",232
16,"task_1",43.28,"Control",0,6.5,6.6,"16_task_1",845
17,"task_1",5.15,"Control",0,6.5,6.6,"17_task_1",697
18,"task_1",128,"Control",0,6.5,6.6,"18_task_1",790
19,"task_1",0.287,"Control",0,6.5,6.6,"19_task_1",152
20,"task_1",43.28,"Control",0,6.5,6.6,"20_task_1",470
21,"task_1",6.57,"Control",1,6.5,6.6,"21_task_1",226
22,"task_1",5.7,"Control",0,6.5,6.6,"22_task_1",75
23,"task_1",6.59,"Control",1,6.5,6.6,"23_task_1",274
24,"task_1",6.578560378,"Control",1,6.5,6.6,"24_task_1",955
25,"task_1",6.59,"Control",1,6.5,6.6,"25_task_1",172
26,"task_1",43.28,"Control",0,6.5,6.6,"26_task_1",430
1,"task_2",11.62,"Intervention",0,8.2,8.3,"1_task_2",78
2,"task_2",8.22,"Intervention",1,8.2,8.3,"2_task_2",175
3,"task_2",8.22,"Intervention",1,8.2,8.3,"3_task_2",99
4,"task_2",8.22,"Intervention",1,8.2,8.3,"4_task_2",91
5,"task_2",8.22,"Intervention",1,8.2,8.3,"5_task_2",160
6,"task_2",8.22,"Intervention",1,8.2,8.3,"6_task_2",122
7,"task_2",11.62,"Intervention",0,8.2,8.3,"7_task_2",144
8,"task_2",11.62,"Intervention",0,8.2,8.3,"8_task_2",70
9,"task_2",11.62,"Intervention",0,8.2,8.3,"9_task_2",444
10,"task_2",8.22,"Intervention",1,8.2,8.3,"10_task_2",40
11,"task_2",8.22,"Intervention",1,8.2,8.3,"11_task_2",66
12,"task_2",11.62,"Intervention",0,8.2,8.3,"12_task_2",48
13,"task_2",8.22,"Intervention",1,8.2,8.3,"13_task_2",194
14,"task_2",8.22,"Intervention",1,8.2,8.3,"14_task_2",77
15,"task_2",16.43,"Control",0,8.2,8.3,"15_task_2",255
16,"task_2",16.43,"Control",0,8.2,8.3,"16_task_2",267
17,"task_2",11.62,"Control",0,8.2,8.3,"17_task_2",391
18,"task_2",11.61,"Control",0,8.2,8.3,"18_task_2",358
19,"task_2",45,"Control",0,8.2,8.3,"19_task_2",54
20,"task_2",16.43,"Control",0,8.2,8.3,"20_task_2",209
21,"task_2",11.62,"Control",0,8.2,8.3,"21_task_2",131
22,"task_2",11.61,"Control",0,8.2,8.3,"22_task_2",209
23,"task_2",11.61,"Control",0,8.2,8.3,"23_task_2",217
24,"task_2",11.61895004,"Control",0,8.2,8.3,"24_task_2",727
25,"task_2",11.61,"Control",0,8.2,8.3,"25_task_2",606
26,"task_2",11.62,"Control",0,8.2,8.3,"26_task_2",201
1,"task_3",0.37,"Intervention",1,0.3,0.4,"1_task_3",103
2,"task_3",0.37,"Intervention",1,0.3,0.4,"2_task_3",30
3,"task_3",0.37,"Intervention",1,0.3,0.4,"3_task_3",86
4,"task_3",0.37,"Intervention",1,0.3,0.4,"4_task_3",43
5,"task_3",0.37,"Intervention",1,0.3,0.4,"5_task_3",27
6,"task_3",0.37,"Intervention",1,0.3,0.4,"6_task_3",115
7,"task_3",0.37,"Intervention",1,0.3,0.4,"7_task_3",53
8,"task_3",0.37,"Intervention",1,0.3,0.4,"8_task_3",80
9,"task_3",0.37,"Intervention",1,0.3,0.4,"9_task_3",35
10,"task_3",0.37,"Intervention",1,0.3,0.4,"10_task_3",12
11,"task_3",10.95,"Intervention",0,0.3,0.4,"11_task_3",65
12,"task_3",0.37,"Intervention",1,0.3,0.4,"12_task_3",15
13,"task_3",0.37,"Intervention",1,0.3,0.4,"13_task_3",66
14,"task_3",0.37,"Intervention",1,0.3,0.4,"14_task_3",47
15,"task_3",10.95,"Control",0,0.3,0.4,"15_task_3",33
16,"task_3",0.37,"Control",1,0.3,0.4,"16_task_3",230
17,"task_3",0.37,"Control",1,0.3,0.4,"17_task_3",155
18,"task_3",0.37,"Control",1,0.3,0.4,"18_task_3",71
19,"task_3",0.365,"Control",1,0.3,0.4,"19_task_3",20
20,"task_3",0.37,"Control",1,0.3,0.4,"20_task_3",133
21,"task_3",0.37,"Control",1,0.3,0.4,"21_task_3",124
22,"task_3",0.36,"Control",1,0.3,0.4,"22_task_3",54
23,"task_3",0.36,"Control",1,0.3,0.4,"23_task_3",129
24,"task_3",0.365148372,"Control",1,0.3,0.4,"24_task_3",199
25,"task_3",0.37,"Control",1,0.3,0.4,"25_task_3",210
26,"task_3",0.37,"Control",1,0.3,0.4,"26_task_3",100
1,"task_4",0.67,"Intervention",1,0.6,0.7,"1_task_4",69
2,"task_4",0.67,"Intervention",1,0.6,0.7,"2_task_4",54
3,"task_4",NA,"Intervention",0,0.6,0.7,"3_task_4",146
4,"task_4",0.67,"Intervention",1,0.6,0.7,"4_task_4",50
5,"task_4",0.67,"Intervention",1,0.6,0.7,"5_task_4",68
6,"task_4",0.67,"Intervention",1,0.6,0.7,"6_task_4",79
7,"task_4",0.67,"Intervention",1,0.6,0.7,"7_task_4",58
8,"task_4",0.67,"Intervention",1,0.6,0.7,"8_task_4",91
9,"task_4",0.67,"Intervention",1,0.6,0.7,"9_task_4",269
10,"task_4",0.67,"Intervention",1,0.6,0.7,"10_task_4",48
11,"task_4",0.67,"Intervention",1,0.6,0.7,"11_task_4",130
12,"task_4",0.67,"Intervention",1,0.6,0.7,"12_task_4",60
13,"task_4",0.67,"Intervention",1,0.6,0.7,"13_task_4",87
14,"task_4",0.67,"Intervention",1,0.6,0.7,"14_task_4",79
15,"task_4",NA,"Control",0,0.6,0.7,"15_task_4",330
16,"task_4",NA,"Control",0,0.6,0.7,"16_task_4",677
17,"task_4",0.51,"Control",0,0.6,0.7,"17_task_4",265
18,"task_4",0.67,"Control",1,0.6,0.7,"18_task_4",886
19,"task_4",0.958,"Control",0,0.6,0.7,"19_task_4",531
20,"task_4",0.97,"Control",0,0.6,0.7,"20_task_4",279
21,"task_4",0.67,"Control",1,0.6,0.7,"21_task_4",278
22,"task_4",NA,"Control",0,0.6,0.7,"22_task_4",588
23,"task_4",0.6,"Control",1,0.6,0.7,"23_task_4",217
24,"task_4",NA,"Control",0,0.6,0.7,"24_task_4",450
